TPA,BENEFL,Clarity Benefit Solutions,77 Brant Avenue,Suite 206,Clark,NJ,07066,,,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,FSA,MED,20210101            ,20210325            ,ROLLOVER,20210325            ,90,0.00,2750.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,PKG,PRK,20050101            ,20051230            ,,20060331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,PKG,PRK,20060101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,PKG,PRK,20080101            ,20091231            ,,20100331            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,PKP,PKP,20060101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,RO3,DCA-ROLL,20200101            ,20201231            ,ROLLOVER,20201231            ,90,0.00,0.01
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,FSAROL,20140101            ,20150331            ,ROLLOVER,20150331            ,,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20160101            ,20161231            ,,20170331            ,90,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20170101            ,20171231            ,,20180331            ,90,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20180101            ,20181231            ,,20190331            ,90,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20190101            ,20191231            ,,20200430            ,90,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20200101            ,20201231            ,ROLLOVER,20201231            ,90,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROL,20210101            ,20210101            ,ROLLOVER,20210101            ,0,0.00,0.01
PLN,BENEFL,BENINSTIN,Instinet Group Inc,ROL,ROLFSA,20150101            ,20160331            ,ROLLOVER,20160331            ,,0.00,500.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,TRN,TRN,20050101            ,20051230            ,,20060331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,TRN,TRN,20060101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,TRN,TRN,20080101            ,20091231            ,,20100331            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,TRP,TRP,20060101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA3,PRK,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA3,PRK,20090101            ,20101231            ,GRACE,20110315            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA3,UA3,20050101            ,20061227            ,,20061227            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA4,PKP,20090101            ,20101231            ,GRACE,20110315            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA5,TRN,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA5,TRN,20090101            ,20101231            ,GRACE,20110315            ,,0.00,0.00
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA5,UA5,20050101            ,20061227            ,,20061227            ,,,
PLN,BENEFL,BENINSTIN,Instinet Group Inc,UA6,TRP,20090101            ,20101231            ,GRACE,20110315            ,,0.00,0.00
EMP,BENEFL,BENINTAG,Integrity Automotive Group,844570444,dba Toyota City,1305 East Boston Post Road,Mamaroneck,NY,10543,deirdre.lynn@delucaplanning.com,914-368-9543,
PLN,BENEFL,BENINTAG,Integrity Automotive Group,DCP,DCA,20200601            ,20210531            ,,20210831            ,90,100.00,5000.00
PLN,BENEFL,BENINTAG,Integrity Automotive Group,FSA,MED,20200601            ,20210531            ,,20210831            ,90,100.00,2750.00
PLN,BENEFL,BENINTAG,Integrity Automotive Group,HRA,HRA1,20200601            ,20210531            ,,20210831            ,90,0.00,0.00
PLN,BENEFL,BENINTAG,Integrity Automotive Group,HRA,HRA2,20200601            ,20210531            ,,20210831            ,90,0.00,0.00
PLN,BENEFL,BENINTAG,Integrity Automotive Group,HRA,HRA3,20200601            ,20210531            ,,20210831            ,90,0.00,0.00
PLN,BENEFL,BENINTAG,Integrity Automotive Group,RO3,DCA-ROLL,20200601            ,20210531            ,,20210831            ,90,0.00,0.01
PLN,BENEFL,BENINTAG,Integrity Automotive Group,ROL,FSA-ROL,20200601            ,20210531            ,ROLLOVER,20210831            ,90,0.00,0.01
EMP,BENEFL,BENINTCOM,Integrated Companies,223307175,201 South Highland Avenue Suite 205,,Pittsburgh,PA,15206,rbennett@integrated-companies.com,412-681-6600,
PLN,BENEFL,BENINTCOM,Integrated Companies,DCP,DCA,20170601            ,20180531            ,,20181130            ,180,0.00,5000.00
PLN,BENEFL,BENINTCOM,Integrated Companies,DCP,DCA,20180601            ,20190531            ,,20191130            ,180,0.00,5000.00
PLN,BENEFL,BENINTCOM,Integrated Companies,DCP,DCA,20190601            ,20200531            ,,20201130            ,180,0.00,5000.00
PLN,BENEFL,BENINTCOM,Integrated Companies,DCP,DCA,20200601            ,20210531            ,,20210831            ,180,0.00,5000.00
PLN,BENEFL,BENINTCOM,Integrated Companies,FSA,MED,20170601            ,20180531            ,,20180831            ,180,0.00,2600.00
PLN,BENEFL,BENINTCOM,Integrated Companies,FSA,MED,20180601            ,20190531            ,ROLLOVER,20190831            ,180,0.00,2600.00
PLN,BENEFL,BENINTCOM,Integrated Companies,FSA,MED,20190601            ,20200531            ,ROLLOVER,20200831            ,180,0.00,2700.00
PLN,BENEFL,BENINTCOM,Integrated Companies,FSA,MED,20200601            ,20210531            ,ROLLOVER,20210831            ,180,0.00,2750.00
PLN,BENEFL,BENINTCOM,Integrated Companies,HRA,HRA,20160601            ,20170531            ,,20171130            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,HRA,HRA,20170601            ,20180531            ,,20181130            ,180,700.00,1400.00
PLN,BENEFL,BENINTCOM,Integrated Companies,HRA,HRA,20180601            ,20190531            ,,20191130            ,180,700.00,1400.00
PLN,BENEFL,BENINTCOM,Integrated Companies,HRA,HRA,20190601            ,20200531            ,,20201130            ,180,700.00,1400.00
PLN,BENEFL,BENINTCOM,Integrated Companies,HRA,HRA,20200601            ,20210531            ,,20210831            ,180,700.00,1400.00
PLN,BENEFL,BENINTCOM,Integrated Companies,MRA,EXECHRA,20160601            ,20170531            ,,20171130            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,MRA,EXECHRA,20170601            ,20180531            ,,20181130            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,MRA,EXECHRA,20180601            ,20190531            ,,20191130            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,MRA,EXECHRA,20190601            ,20200531            ,,20201130            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,MRA,EXECHRA,20200601            ,20210531            ,,20210831            ,180,0.00,0.00
PLN,BENEFL,BENINTCOM,Integrated Companies,RO3,DCA-ROLL,20200601            ,20210531            ,ROLLOVER,20210831            ,90,0.00,0.01
PLN,BENEFL,BENINTCOM,Integrated Companies,ROL,FSAROLL,20170601            ,20180531            ,,20180831            ,90,0.00,500.00
PLN,BENEFL,BENINTCOM,Integrated Companies,ROL,FSAROLL,20180601            ,20190531            ,,20190831            ,90,0.00,500.00
PLN,BENEFL,BENINTCOM,Integrated Companies,ROL,FSAROLL,20190601            ,20200531            ,,20200831            ,180,0.00,500.00
EMP,BENEFL,BENAECC,American Escrow & Closing Company,363650421,1699 Wall Street #700,,Mount Prospect,IL,60056,rseeger@aeccmobility.com,847-709-6032,
PLN,BENEFL,BENAECC,American Escrow & Closing Company,DCP,DCA,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,5000.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,DCP,DCA,20170101            ,20171231            ,GRACE,20180415            ,90,0.00,5000.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,DCP,DCA,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,5000.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,DCP,DCA,20190101            ,20191231            ,GRACE,20200415            ,90,0.00,5000.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,DCP,DCA,20200101            ,20201231            ,,20210331            ,90,0.00,5000.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,FSA,MED,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,2550.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,FSA,MED,20170101            ,20171231            ,GRACE,20180415            ,90,0.00,2650.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,FSA,MED,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,2600.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,FSA,MED,20190101            ,20191231            ,GRACE,20200415            ,90,0.00,2700.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,FSA,MED,20200101            ,20201231            ,,20210331            ,90,0.00,2750.00
PLN,BENEFL,BENAECC,American Escrow & Closing Company,RO3,DCA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
PLN,BENEFL,BENAECC,American Escrow & Closing Company,ROL,FSA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
EMP,BENEFL,BENINTERC,The Interchurch Center,135657589,c/o The Interchurch Center ,"475 Riverside Drive, Suite 240",New York,NY,10115,pmayo@interchurch-center.org,212-870-2944,
PLN,BENEFL,BENINTERC,The Interchurch Center,HRA,HRA,20171201            ,20181130            ,,20190228            ,90,0.00,0.00
PLN,BENEFL,BENINTERC,The Interchurch Center,HRA,HRA,20181201            ,20191130            ,,20200229            ,90,0.00,0.00
PLN,BENEFL,BENINTERC,The Interchurch Center,HRA,HRA,20191201            ,20201130            ,,20210228            ,90,0.00,0.00
