ClientName,DivisionName,ModeOrder,ModeName,Description,Qty
American Torch Tip Company,American Torch Tip Company,1,Letters,Open Enrollment Reminder,1
American Torch Tip Company,American Torch Tip Company,1,Letters,Plan Change Notice,4
American Torch Tip Company,American Torch Tip Company,1,Letters,QB Open Enrollment Notification,3
"Ames Advanced Materials, Corp.","Ames Advanced Materials, Corp.",1,Letters,COBRA General Rights Notice,3
"Ames Advanced Materials, Corp.","Ames Advanced Materials, Corp.",1,Letters,Conversion Option Notice,1
Ames Goldsmith Corp.,Ames Goldsmith Corp.,1,Letters,COBRA General Rights Notice,1
Ames Goldsmith Corp.,Ames Goldsmith Corp.,1,Letters,COBRA Specific Rights Notice Letter,3
Ames Goldsmith Corp.,Ames Goldsmith Corp.,1,Letters,Conversion Option Notice,1
Ames Goldsmith Corp.,Ames Goldsmith Corp.,2,Inserts,HIPAA Certificate,3
"AMSYS INNOVATIVE SOLUTIONS, LLC","AMSYS INNOVATIVE SOLUTIONS, LLC",1,Letters,COBRA General Rights Notice,4
"AMSYS INNOVATIVE SOLUTIONS, LLC","AMSYS INNOVATIVE SOLUTIONS, LLC",1,Letters,COBRA Specific Rights Notice Letter,2
"AMSYS INNOVATIVE SOLUTIONS, LLC","AMSYS INNOVATIVE SOLUTIONS, LLC",2,Inserts,HIPAA Certificate,1
"Analysis and Resilience Center for Systemic Risk, Inc.",Analysis and Resilience Center for Systemic Risk,1,Letters,Late Payment Reminder,1
"Approved Oil Company of Brooklyn, Inc.","Approved Oil Company of Brooklyn, Inc.",1,Letters,COBRA Specific Rights Notice Letter,3
"Approved Oil Company of Brooklyn, Inc.","Approved Oil Company of Brooklyn, Inc.",1,Letters,Conversion Option Notice,1
"Approved Oil Company of Brooklyn, Inc.","Approved Oil Company of Brooklyn, Inc.",2,Inserts,HIPAA Certificate,3
"Area Agency on Aging of Pasco-Pinellas, Inc","Area Agency on Aging of Pasco-Pinellas, Inc",1,Letters,COBRA General Rights Notice,1
"Area Agency on Aging of Pasco-Pinellas, Inc","Area Agency on Aging of Pasco-Pinellas, Inc",1,Letters,COBRA Specific Rights Notice Letter,2
"Area Agency on Aging of Pasco-Pinellas, Inc","Area Agency on Aging of Pasco-Pinellas, Inc",1,Letters,Plan Change Notice,1
"Area Agency on Aging of Pasco-Pinellas, Inc","Area Agency on Aging of Pasco-Pinellas, Inc",2,Inserts,HIPAA Certificate,2
Arnette House,Arnette House,1,Letters,COBRA Termination Notice,1
Arnette House,Arnette House,2,Inserts,HIPAA Certificate,1
ASM Research LLC,ASM Research LLC,1,Letters,AEI 2021 Subsidy Eligible Notice,8
ASM Research LLC,ASM Research LLC,1,Letters,COBRA General Rights Notice,31
ASM Research LLC,ASM Research LLC,1,Letters,COBRA Specific Rights Notice Letter,3
ASM Research LLC,ASM Research LLC,1,Letters,Conversion Option Notice,1
ASM Research LLC,ASM Research LLC,1,Letters,Medicare Notice,1
ASM Research LLC,ASM Research LLC,1,Letters,Open Election Summary,10
ASM Research LLC,ASM Research LLC,1,Letters,Plan Change Notice,6
ASM Research LLC,ASM Research LLC,1,Letters,QB Open Enrollment Notification,71
ASM Research LLC,ASM Research LLC,1,Letters,Takeover Notice,71
ASM Research LLC,ASM Research LLC,2,Inserts,HIPAA Certificate,3
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,COBRA Specific Rights Notice Letter,1
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,COBRA Termination Notice,4
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,Enrollment Confirmation Notice,1
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,Medicare Notice,1
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,Participant Communication,1
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,Plan Change Notice,6
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,1,Letters,Subsidy Notice,1
Aspire Business Consulting TERM 11/30/2021,ABC Business Advisors,2,Inserts,HIPAA Certificate,4
Aspire Business Consulting TERM 11/30/2021,Aspire Business Consulting,1,Letters,COBRA Termination Notice,3
Aspire Business Consulting TERM 11/30/2021,Aspire Business Consulting,1,Letters,Plan Change Notice,3
Aspire Business Consulting TERM 11/30/2021,Aspire Business Consulting,2,Inserts,HIPAA Certificate,3
Aspire Business Consulting TERM 11/30/2021,Aspire Search and Staffing,1,Letters,Plan Change Notice,1
Assist America,Assist America,1,Letters,Medicare Notice,1
Atelier Ace LLC,Atelier Ace LLC,1,Letters,COBRA General Rights Notice,3
Atelier Ace LLC,Atelier Ace LLC,1,Letters,COBRA Specific Rights Notice Letter,2
Atelier Ace LLC,Atelier Ace LLC,2,Inserts,HIPAA Certificate,2
Atlantic Research Group,"Atlantic Research Group, Inc.",1,Letters,COBRA General Rights Notice,2
Atlantic Research Group,"Atlantic Research Group, Inc.",1,Letters,COBRA Specific Rights Notice Letter,1
Atlantic Research Group,"Atlantic Research Group, Inc.",1,Letters,Enrollment Confirmation Notice,1
Atlantic Research Group,"Atlantic Research Group, Inc.",2,Inserts,HIPAA Certificate,1
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,COBRA Specific Rights Notice Letter,2
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,COBRA Termination Notice,1
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,Enrollment Confirmation Notice,2
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,Insignificant Payment Notice,2
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,Plan Change Notice,33
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,1,Letters,QB Premium Coupon Book,3
Atrium Innovations - Garden of Life,Atrium Innovations - Garden of Life,2,Inserts,HIPAA Certificate,3
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,COBRA General Rights Notice,2
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,COBRA Specific Rights Notice Letter,11
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,Enrollment Confirmation Notice,1
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,Plan Change Notice,100
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,QB Open Enrollment Notification,99
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,1,Letters,QB Premium Coupon Book,1
Atrium Innovations - HVL LLC,Atrium Innovations - HVL LLC,2,Inserts,HIPAA Certificate,11
Atwave,Atwave,1,Letters,COBRA General Rights Notice,1
"Auto Haus Body Shop, Inc.",Grafton Collision Center,1,Letters,Late Payment Reminder,1
"Auto Haus Body Shop, Inc.",Grafton Collision Center,1,Letters,Plan Change Notice,1
Avalon BH HM LLC,Avalon Beverly Hills Hotel,1,Letters,COBRA General Rights Notice,3
Avalon PS HM LLC,Avalon Palm Springs Hotel and Bungalows,1,Letters,COBRA Specific Rights Notice Letter,4
Avalon PS HM LLC,Avalon Palm Springs Hotel and Bungalows,2,Inserts,HIPAA Certificate,3
Avalon PS HM LLC,Ingleside Inn Hotel,1,Letters,COBRA Specific Rights Notice Letter,1
Avalon PS HM LLC,Ingleside Inn Hotel,2,Inserts,HIPAA Certificate,1
AWC Premium Automotive Service -Term effective 04/30/21,AWC Premium Automotive Service LTD,1,Letters,COBRA Termination Notice,2
AWC Premium Automotive Service -Term effective 04/30/21,AWC Premium Automotive Service LTD,2,Inserts,HIPAA Certificate,2
Ayers Saint Gross,Ayers Saint Gross,1,Letters,COBRA General Rights Notice,5
Ayers Saint Gross,Ayers Saint Gross,1,Letters,COBRA Specific Rights Notice Letter,1
Ayers Saint Gross,Ayers Saint Gross,1,Letters,Insignificant Payment Notice,2
Ayers Saint Gross,Ayers Saint Gross,1,Letters,Late Payment Reminder,2
Ayers Saint Gross,Ayers Saint Gross,2,Inserts,HIPAA Certificate,1
"B&T Group Holdings, Inc.","B&T Group Holdings, Inc.",1,Letters,COBRA General Rights Notice,4
"B&T Group Holdings, Inc.","B&T Group Holdings, Inc.",1,Letters,COBRA Specific Rights Notice Letter,3
"B&T Group Holdings, Inc.","B&T Group Holdings, Inc.",1,Letters,COBRA Termination Notice,1
"B&T Group Holdings, Inc.","B&T Group Holdings, Inc.",1,Letters,Late Payment Reminder,1
"B&T Group Holdings, Inc.","B&T Group Holdings, Inc.",1,Letters,Plan Change Notice,1
Baim Institute For Clinical Research INC,Baim Institute For Clinical Research INC,1,Letters,COBRA General Rights Notice,1
Baim Institute For Clinical Research INC,Baim Institute For Clinical Research INC,1,Letters,COBRA Specific Rights Notice Letter,2
Baim Institute For Clinical Research INC,Baim Institute For Clinical Research INC,1,Letters,Plan Change Notice,15
Baim Institute For Clinical Research INC,Baim Institute For Clinical Research INC,1,Letters,QB Open Enrollment Notification,15
Baim Institute For Clinical Research INC,Baim Institute For Clinical Research INC,2,Inserts,HIPAA Certificate,2
Bainbridge Communities Management LLC,Bainbridge Communities Management LLC,1,Letters,COBRA Specific Rights Notice Letter,5
Bainbridge Communities Management LLC,Bainbridge Communities Management LLC,1,Letters,Enrollment Confirmation Notice,1
Bainbridge Communities Management LLC,Bainbridge Communities Management LLC,2,Inserts,HIPAA Certificate,3
Bainbridge Communities Management LLC,CORPORATE,1,Letters,COBRA General Rights Notice,2
Bainbridge Communities Management LLC,CORPORATE,1,Letters,COBRA Specific Rights Notice Letter,7
Bainbridge Communities Management LLC,CORPORATE,1,Letters,Late Payment Reminder,1
Bainbridge Communities Management LLC,CORPORATE,1,Letters,Open Enrollment Reminder,3
Bainbridge Communities Management LLC,CORPORATE,1,Letters,QB Open Enrollment Notification,5
Bainbridge Communities Management LLC,CORPORATE,2,Inserts,HIPAA Certificate,7
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,1,Letters,COBRA General Rights Notice,25
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,1,Letters,COBRA Specific Rights Notice Letter,17
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,1,Letters,Conversion Option Notice,3
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,1,Letters,Open Enrollment Reminder,12
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,1,Letters,QB Open Enrollment Notification,9
Bainbridge Communities Management LLC,STANDARD EMPLOYEE,2,Inserts,HIPAA Certificate,14
"Barcade Holdings, LLC","Barcade Holdings, LLC",1,Letters,Late Payment Reminder,2
BARE International,BARE International,1,Letters,Plan Change Notice,1
